City,State,Region,Income
Panchkula,Haryana,North India,"3,181.00"
Panna,Madhya Pradesh,Central India,"1,416.00"
Panhala,Maharashtra,West India,"2,606.00"
Panvel,Maharashtra,West India,"2,606.00"
Pantnagar,Uttaranchal,North India,"2,603.33"
Parwanoo,Himachal Pradesh,North India,"2,474.00"
Patiala,Punjab,North India,"2,023.00"
Pathankot,Jammu & Kashmir,North India,"2,603.33"
Patna,Bihar,East India,588.00
Patnitop,Jammu & Kashmir,North India,"2,603.33"
Pelling,West Sikkim,East India,"1,735.33"
Pench,Madhya Pradesh,West India,"1,416.00"
Phagwara,Punjab,North India,"2,023.00"
Phalodi,Rajasthan,West India,"1,565.00"
Pinjore,Haryana,North India,"3,181.00"
Pondicherry,Tamil Nadu,South India,"2,863.00"
Poovar,Kerala,South India,"2,767.00"
Porbandar,Gujarat,West India,"2,872.00"
Port Blair,Andaman & Nicobar Islands,South India,"2,801.50"
Poshina,Gujarat,West India,"2,872.00"
Pragpur,Himachal Pradesh,North India,"2,474.00"
Pune,Maharashtra,West India,"2,606.00"
Puri,Orissa,East India,"1,735.33"
Puskhar,Rajasthan,West India,"1,565.00"
Puttaparthi,Andhra Pradesh,South India,"2,385.00"
Rai Bareilly,Uttar Pradesh,North India,832.00
Raichak,West Bengal,East India,"1,637.00"
Raipur,Chhattisgarh,Central India,"1,416.00"
Rajasthan,Rajasthan,West India,"1,565.00"
Rajgir,Bihar,East India,588.00
Rajkot,Gujarat,West India,"2,872.00"
Rajpipla,Gujarat,West India,"2,872.00"
Rajsamand,Rajasthan,West India,"1,565.00"
Rajahmundry,Andhra Pradesh,South India,"2,385.00"
Rameshwaram,Tamil Nadu,South India,"2,863.00"
Ram Nagar,Uttar Pradesh,North India,832.00
Ramgarh,Rajasthan,West India,"1,565.00"
Ranakpur,Rajasthan,West India,"1,565.00"
Ranchi,Jharkhand,East India,959.00
Ranikhet,Uttaranchal,North India,"2,603.33"
Ranny,Kerala,South India,"2,767.00"
Ranthambore,Rajasthan,West India,"1,565.00"
Ratnagiri,Maharashtra,West India,"2,606.00"
Ravangla,Sikkim,East India,"5,570.00"
Rishikesh,Uttar Pradesh,North India,832.00
Rishyap,West Bengal,East India,"1,637.00"
Rohetgarh,Rajasthan,West India,"1,565.00"
Rourkela,Orissa,East India,"1,735.33"
Sajan,Maharashtra,West India,"2,606.00"
Salem,Tamil Nadu,South India,"2,863.00"
Saputara,Gujarat,West India,"2,872.00"
Sasan Gir,Gujarat,West India,"2,872.00"
Sattal,Uttaranchal,North India,"2,603.33"
Sawai Madhopur,Rajasthan,West India,"1,565.00"
Sawantwadi,Maharashtra,West India,"2,606.00"
Secunderabad,Andhra Pradesh,South India,"2,385.00"
Shillong,Meghalaya,East India,"1,142.00"
Shimla,Himachal Pradesh,North India,"2,474.00"
Shimlipal,Orissa,East India,"1,735.33"
Shirdi,Maharashtra,West India,"2,606.00"
Sharavanbelgola,Karnataka,South India,"3,191.00"
Shivanasamudra,Karnataka,South India,"3,191.00"
Siana,Rajasthan,West India,"1,565.00"
Siliguri,West Bengal,East India,"1,637.00"
Silvassa,Union Territory Of Dadra & Nagar Haveli,West India,"3,216.00"
Sivaganga District,Tamil Nadu,South India,"2,863.00"
Solan,Himachal Pradesh,North India,"2,474.00"
Sonauli,Uttar Pradesh,North India,832.00
Srinagar,Jammu & Kashmir,North India,"2,603.33"
Sunderban,West Bengal,East India,"1,637.00"
Surat,Gujarat,West India,"2,872.00"
Tanjore,Tamil Nadu,South India,"2,863.00"
Tapola,Maharashtra,West India,"2,606.00"
Tarapith,West Bengal,East India,"1,637.00"
Thane,Maharashtra,West India,"2,606.00"
Thekkady,Kerala,South India,"2,767.00"
Thirvannamalai,Tamil Nadu,South India,"2,863.00"
Thiruvananthapuram,Kerala,South India,"2,767.00"
Tiruchirapalli,Tamil Nadu,South India,"2,863.00"
Tirupur,Tamil Nadu,South India,"2,863.00"
Tirupati,Andhra Pradesh,South India,"2,385.00"
Thrissur,Kerala,South India,"2,767.00"
Udaipur,Rajasthan,West India,"1,565.00"
Udhampur,Jammu & Kashmir,North India,"2,603.33"
Udupi,Karnataka,South India,"3,191.00"
Ujjain,Madhya Pradesh,Central India,"1,416.00"
Uttarkashi,Uttaranchal,North India,"2,603.33"
Vadodara,Gujarat,West India,"2,872.00"
Vagamon,Kerala,South India,"2,767.00"
Varkala,Kerala,South India,"2,767.00"
Vapi,Gujarat,West India,"2,872.00"
Varanasi,Uttar Pradesh,North India,832.00
Velankanni,Tamil Nadu,South India,"2,863.00"
Vellore,Tamil Nadu,South India,"2,863.00"
Veraval,Maharashtra,West India,"2,606.00"
Vijayawada,Andhra Pradesh,South India,"2,385.00"
Vikramgadh,Maharashtra,West India,"2,606.00"
Vishakapatnam,Andhra Pradesh,South India,"2,385.00"
Wayanad,Kerala,South India,"2,767.00"
Wankaner,Gujarat,West India,"2,872.00"
Yamunotri,Uttaranchal,North India,"2,603.33"
Yercaud,Tamil Nadu,South India,"2,863.00"
Yuksom,Sikkim,North East India,"5,570.00"
